Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota
Geral,2025-08-17 19:06:37,2024-08-05,Datascience,97,17,01 - Progetos\zData Analyst\0 Oque fazer\Geral.md
O Que Você Precisa Descobrir Sobre uma Empresa Durante sua Primeira Semana,2025-05-01 18:18:58,2025-05-01,data: 2025-05-01,21,0,01 - Progetos\zData Analyst\0 Oque fazer\O Que Você Precisa Descobrir Sobre uma Empresa Durante sua Primeira Semana.md
00001,2025-03-19 18:35:08,,,4,0,01 - Progetos\zData Analyst\Conceitos\00001.md
AARRR,2025-03-14 20:07:17,,,0,0,01 - Progetos\zData Analyst\Conceitos\AARRR.md
Alcance vx Impacto.,2025-03-19 21:16:17,2025-03-19,data: 2025-03-19,73,0,01 - Progetos\zData Analyst\Conceitos\Alcance vx Impacto..md
Análise inicial do DF,2024-12-21 19:43:52,2024-12-21,data: 2024-12-21,35,0,01 - Progetos\zData Analyst\Conceitos\Análise inicial do DF.md
Atividade do Usuário,2025-03-14 19:23:33,,,181,0,01 - Progetos\zData Analyst\Conceitos\Atividade do Usuário.md
Boas Práticas na Comunicação de Análises,2025-03-27 10:43:17,2025-03-27,Softskills,198,0,01 - Progetos\zData Analyst\Conceitos\Boas Práticas na Comunicação de Análises.md
CAC,2025-03-14 18:20:11,2025-03-14,data: 2025-03-14,84,0,01 - Progetos\zData Analyst\Conceitos\CAC.md
churn,2024-11-11 21:35:40,2024-11-11,DataAnalyst,42,0,01 - Progetos\zData Analyst\Conceitos\churn.md
CLI,2025-01-19 21:05:45,2025-01-19,Conceito,13,0,01 - Progetos\zData Analyst\Conceitos\CLI.md
Coeficiente de correlação linear,2024-12-18 00:36:32,2024-12-18,Gráfico,257,1,01 - Progetos\zData Analyst\Conceitos\Coeficiente de correlação linear.md
Como fazer Coorte,2025-03-20 16:07:18,,,0,0,01 - Progetos\zData Analyst\Conceitos\Como fazer Coorte.md
Coorte,2025-05-30 15:20:10,2025-03-13,data: 2025-03-13,205,1,01 - Progetos\zData Analyst\Conceitos\Coorte.md
Data lake,2025-05-21 18:33:19,2025-05-21,data: 2025-05-21,55,0,01 - Progetos\zData Analyst\Conceitos\Data lake.md
Data warehouse,2025-05-21 18:34:36,2025-05-21,data: 2025-05-21,49,0,01 - Progetos\zData Analyst\Conceitos\Data warehouse.md
Diários de Hipóteses,2025-03-19 19:30:27,2025-03-19,data: 2025-03-19,82,0,01 - Progetos\zData Analyst\Conceitos\Diários de Hipóteses.md
Economia unitária,2025-03-13 20:59:48,2025-03-13,data: 2025-03-13,83,0,01 - Progetos\zData Analyst\Conceitos\Economia unitária.md
Engenharia de características,2025-02-17 20:30:20,2024-12-27,Conceito,44,7,01 - Progetos\zData Analyst\Conceitos\Engenharia de características.md
Erro dos tipo I e II,2025-03-22 09:42:57,2025-03-20,[],85,0,01 - Progetos\zData Analyst\Conceitos\Erro dos tipo I e II.md
ETL,2025-04-25 19:46:56,2025-04-25,data: 2025-04-25,13,0,01 - Progetos\zData Analyst\Conceitos\ETL.md
Ganho de conversão relativo.,2025-03-25 10:58:37,2025-03-25,data: 2025-03-25,9,0,01 - Progetos\zData Analyst\Conceitos\Ganho de conversão relativo..md
GUI,2025-01-19 21:17:23,2025-01-19,Conceito,10,0,01 - Progetos\zData Analyst\Conceitos\GUI.md
HEART,2025-03-14 20:07:14,,,0,0,01 - Progetos\zData Analyst\Conceitos\HEART.md
Hipóteses,2025-03-19 19:49:07,2025-03-19,data: 2025-03-19,48,0,01 - Progetos\zData Analyst\Conceitos\Hipóteses.md
Importância do grafico,2024-12-05 18:58:41,2024-12-05,data: 2024-12-05,40,1,01 - Progetos\zData Analyst\Conceitos\Importância do grafico.md
JupyterLab,2025-02-04 00:16:05,2025-02-04,[],21,0,01 - Progetos\zData Analyst\Conceitos\JupyterLab.md
LTV,2025-03-14 18:19:00,2025-03-14,data: 2025-03-14,90,0,01 - Progetos\zData Analyst\Conceitos\LTV.md
Métodos Experimentais,2025-03-19 20:03:03,2025-03-19,data: 2025-03-19,138,0,01 - Progetos\zData Analyst\Conceitos\Métodos Experimentais.md
Métricas chaves,2025-03-19 19:29:02,2025-03-19,data: 2025-03-19,309,1,01 - Progetos\zData Analyst\Conceitos\Métricas chaves.md
Outliers,2024-12-21 19:36:55,2024-12-21,Estatística,26,0,01 - Progetos\zData Analyst\Conceitos\Outliers.md
Paradoxo de Simpson,2025-04-09 10:12:51,2025-04-09,data: 2025-04-09,127,0,01 - Progetos\zData Analyst\Conceitos\Paradoxo de Simpson.md
Paramétricos ou não,2025-03-22 10:44:37,2025-03-22,[],90,3,01 - Progetos\zData Analyst\Conceitos\Paramétricos ou não.md
Pipeline de dados,2025-05-21 18:32:29,2025-04-25,data: 2025-04-25,257,0,01 - Progetos\zData Analyst\Conceitos\Pipeline de dados.md
pipeline,2025-02-17 18:21:29,2025-02-17,data: 2025-02-17,202,0,01 - Progetos\zData Analyst\Conceitos\pipeline.md
ROMI,2025-03-14 18:43:47,,,0,0,01 - Progetos\zData Analyst\Conceitos\ROMI.md
Rotatividade,2024-11-11 21:23:20,2024-11-11,DataAnalyst,27,1,01 - Progetos\zData Analyst\Conceitos\Rotatividade.md
RPV,2025-03-19 19:02:01,2025-03-19,data: 2025-03-19,102,0,01 - Progetos\zData Analyst\Conceitos\RPV.md
Sessões de Usuário,2025-03-14 19:35:09,2025-03-14,data: 2025-03-14,175,0,01 - Progetos\zData Analyst\Conceitos\Sessões de Usuário.md
Significância Estatística,2025-03-24 10:22:06,2025-03-24,data: 2025-03-24,62,1,01 - Progetos\zData Analyst\Conceitos\Significância Estatística.md
taxa de cliques (CTR),2025-03-07 19:16:42,2025-03-07,Economia,72,0,01 - Progetos\zData Analyst\Conceitos\taxa de cliques (CTR).md
taxa de conversão (CR),2025-03-07 19:16:48,2025-03-07,Economia,75,0,01 - Progetos\zData Analyst\Conceitos\taxa de conversão (CR).md
Teste AB,2025-04-10 09:46:18,2025-04-10,data: 2025-04-10,179,0,01 - Progetos\zData Analyst\Conceitos\Teste AB.md
Teste AlA,2025-03-27 10:19:38,2025-03-20,data: 2025-03-20,60,0,01 - Progetos\zData Analyst\Conceitos\Teste AlA.md
Teste de Wilcoxon-Mann-Whitney,2025-03-23 20:26:39,2025-03-23,data: 2025-03-23,88,0,01 - Progetos\zData Analyst\Conceitos\Teste de Wilcoxon-Mann-Whitney.md
Teste Shapiro–Wilk,2025-03-22 10:33:37,2025-03-22,Comando,248,0,01 - Progetos\zData Analyst\Conceitos\Teste Shapiro–Wilk.md
Testes,2025-04-10 10:17:37,2025-04-10,data: 2025-04-10,490,0,01 - Progetos\zData Analyst\Conceitos\Testes.md
Valor absoluto,2025-03-22 10:06:52,2025-03-22,data: 2025-03-22,18,0,01 - Progetos\zData Analyst\Conceitos\Valor absoluto.md
requirements python,2025-01-27 20:06:56,2025-01-27,Comando,28,0,01 - Progetos\zData Analyst\Desenvolvimento\requirements python.md
--help,2025-01-21 20:42:05,2025-01-21,Comando,960,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\--help.md
alias,2025-01-25 19:38:46,2025-01-25,Comando,61,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\alias.md
cat,2025-01-23 20:41:34,2025-01-22,Comando,62,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\cat.md
cd,2025-01-21 23:13:11,2025-01-21,Comando,22,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\cd.md
cp,2025-01-22 21:59:21,2025-01-22,Comando,35,3,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\cp.md
Curinga,2025-01-23 19:28:51,2025-01-23,Comando,269,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\Curinga.md
echo,2025-01-22 19:57:53,2025-01-22,Comando,103,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\echo.md
env com python,2025-01-31 21:22:02,2025-01-27,Comando,58,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\env com python.md
find,2025-01-24 23:44:06,2025-01-22,Comando,115,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\find.md
grep,2025-01-24 23:55:15,2025-01-22,Comando,51,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\grep.md
head & tail,2025-01-23 21:15:45,2025-01-22,Comando,40,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\head & tail.md
history,2025-01-25 20:51:01,2025-01-25,Comando,20,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\history.md
home,2025-01-22 21:25:33,2025-01-22,Comando,19,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\home.md
ls,2025-01-21 23:13:33,2025-01-21,Comando,52,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\ls.md
man,2025-01-21 23:13:18,2025-01-21,data: 2025-01-21,569,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\man.md
mkdir,2025-01-22 13:25:07,2025-01-21,Comando,84,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\mkdir.md
mv,2025-01-22 21:50:14,2025-01-22,Comando,70,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\mv.md
Pipes,2025-01-25 20:34:17,2025-01-25,Comando,30,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\Pipes.md
pwd,2025-01-21 23:12:59,2025-01-21,Comando,15,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\pwd.md
rm,2025-01-21 23:48:00,2025-01-21,Comando,99,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\rm.md
tab 3x,2025-01-21 22:42:29,2025-01-21,Comando,77,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\tab 3x.md
touch,2025-01-22 20:59:17,2025-01-22,Comando,22,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\touch.md
vi,2025-01-23 21:22:46,2025-01-22,Comando,83,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\vi.md
wc,2025-01-23 21:06:59,2025-01-22,Comando,69,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\wc.md
conda activate myenv,2025-01-27 18:45:56,2025-01-27,Comando,10,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda activate myenv.md
conda create --name myenv,2025-01-27 18:43:56,2025-01-27,Comando,12,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda create --name myenv.md
conda deactivate,2025-01-27 18:46:45,2025-01-27,Comando,10,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda deactivate.md
conda env create --name myenv --file requirements.txt,2025-01-27 19:57:29,2025-01-27,Comando,11,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda env create --name myenv --file requirements.txt.md
conda install --name myenv scipy,2025-01-27 18:58:10,2025-01-27,Comando,15,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda install --name myenv scipy.md
conda install -c,2025-01-27 18:47:00,2025-01-27,Comando,9,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda install -c.md
",bashrc",2025-01-25 19:38:11,2025-01-25,Conceito,31,0,"01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\,bashrc.md"
Diretório,2025-01-21 23:02:57,2025-01-21,data: 2025-01-21,28,0,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\Diretório.md
dummy,2025-01-22 20:52:56,2025-01-22,data: 2025-01-22,23,1,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\dummy.md
modificador,2025-01-21 20:07:22,2025-01-21,data: 2025-01-21,33,0,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\modificador.md
Variável de ambiente,2025-01-25 20:29:10,2025-01-25,Conceito,181,1,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\Variável de ambiente.md
WSL,2025-01-30 18:55:41,,,0,0,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\WSL.md
Amostragem,2025-01-09 20:02:36,2025-01-09,Conceito,97,0,01 - Progetos\zData Analyst\Estatística\Amostragem.md
Análise de dados,2024-12-31 01:26:49,2024-09-04,DataAnalyst,93,7,01 - Progetos\zData Analyst\Estatística\Análise de dados.md
Análise de Variância (ANOVA),2025-09-21 20:10:28,2025-09-21,data: 2025-09-21,468,17,01 - Progetos\zData Analyst\Estatística\Análise de Variância (ANOVA).md
Análise descritiva ou exploratória,2024-12-31 01:26:53,2024-09-04,DataAnalyst,92,2,01 - Progetos\zData Analyst\Estatística\Análise descritiva ou exploratória.md
Análise diagnóstica,2024-12-31 01:27:00,2024-09-04,DataAnalyst,31,2,01 - Progetos\zData Analyst\Estatística\Análise diagnóstica.md
Análise Estatística,2024-09-04 21:48:45,2024-08-25,DataAnalyst,45,5,01 - Progetos\zData Analyst\Estatística\Análise Estatística.md
Análise Explanatória,2024-12-31 01:27:06,2024-09-05,DataAnalyst,55,5,01 - Progetos\zData Analyst\Estatística\Análise Explanatória.md
Análise preditiva,2024-12-31 01:27:09,2024-09-04,DataAnalyst,119,7,01 - Progetos\zData Analyst\Estatística\Análise preditiva.md
Análise prescritiva,2024-12-31 01:27:13,2024-09-04,DataAnalyst,28,2,01 - Progetos\zData Analyst\Estatística\Análise prescritiva.md
Aprendizado de máquina,2024-08-25 20:56:05,2024-08-25,DataAnalyst,35,1,01 - Progetos\zData Analyst\Estatística\Aprendizado de máquina.md
Cauda longa vx Calda pesada,2025-01-03 23:03:41,2025-01-03,Conceito,33,3,01 - Progetos\zData Analyst\Estatística\Cauda longa vx Calda pesada.md
Coleta de dados,2024-08-25 19:37:40,2024-08-25,DataAnalyst,30,1,01 - Progetos\zData Analyst\Estatística\Coleta de dados.md
Conceitos-chave de dados,2024-10-28 23:50:41,2024-08-25,DataAnalyst,22,6,01 - Progetos\zData Analyst\Estatística\Conceitos-chave de dados.md
Correlação de Pearson vs. Spearman,2025-09-21 19:42:17,2025-09-21,data: 2025-09-21,285,17,01 - Progetos\zData Analyst\Estatística\Correlação de Pearson vs. Spearman.md
Correlação de Pearson,2025-09-21 19:16:54,2025-09-21,data: 2025-09-21,288,2,01 - Progetos\zData Analyst\Estatística\Correlação de Pearson.md
Correlação de Spearman,2025-09-21 19:36:07,2025-09-21,data: 2025-09-21,421,4,01 - Progetos\zData Analyst\Estatística\Correlação de Spearman.md
Correlação vs. Causalidade,2025-09-21 19:47:51,2025-09-21,data: 2025-09-21,272,3,01 - Progetos\zData Analyst\Estatística\Correlação vs. Causalidade.md
Covariância,2025-01-07 20:23:45,2025-01-03,Conceito,265,0,01 - Progetos\zData Analyst\Estatística\Covariância.md
Dados assimétricos,2025-01-03 23:41:35,2025-01-03,Conceito,45,5,01 - Progetos\zData Analyst\Estatística\Dados assimétricos.md
Decis,2025-09-19 20:07:08,2025-09-19,data: 2025-09-19,72,2,01 - Progetos\zData Analyst\Estatística\Decis.md
Densidade de probabilidade,2025-01-09 20:24:43,2025-01-09,Conceito,49,0,01 - Progetos\zData Analyst\Estatística\Densidade de probabilidade.md
Desvio médio absoluto,2025-01-03 20:20:34,2025-01-03,data: 2025-01-03,99,1,01 - Progetos\zData Analyst\Estatística\Desvio médio absoluto.md
Desvio padrão,2025-01-25 23:30:28,2025-01-03,Comando,59,5,01 - Progetos\zData Analyst\Estatística\Desvio padrão.md
Desvio,2025-01-07 20:09:20,2025-01-07,Conceito,16,1,01 - Progetos\zData Analyst\Estatística\Desvio.md
Dispersão,2025-01-06 23:30:44,2025-01-02,Conceito,79,0,01 - Progetos\zData Analyst\Estatística\Dispersão.md
Distribuição Binomial,2025-09-21 18:46:47,2025-09-21,Comando,498,10,01 - Progetos\zData Analyst\Estatística\Distribuição Binomial.md
Distribuição de Poisson,2025-09-21 18:20:48,,data_criacao: 2025-09-21,450,11,01 - Progetos\zData Analyst\Estatística\Distribuição de Poisson.md
Distribuição normal,2025-01-03 22:57:24,2025-01-03,Conceito,29,3,01 - Progetos\zData Analyst\Estatística\Distribuição normal.md
DMA vx Variância,2025-01-07 00:12:30,2025-01-07,Conceito,221,0,01 - Progetos\zData Analyst\Estatística\DMA vx Variância.md
Erro padrão & Desvio padrão,2025-01-25 23:30:28,2025-01-09,Conceito,34,2,01 - Progetos\zData Analyst\Estatística\Erro padrão & Desvio padrão.md
Erro padrão,2025-01-25 23:30:28,2025-01-09,data: 2025-01-09,45,1,01 - Progetos\zData Analyst\Estatística\Erro padrão.md
Estatística Descritiva,2024-09-03 23:31:31,2024-09-03,DataAnalyst,78,11,01 - Progetos\zData Analyst\Estatística\Estatística Descritiva.md
Excel,2024-09-05 21:21:51,2024-08-25,DataAnalyst,59,3,01 - Progetos\zData Analyst\Estatística\Excel.md
Exploração,2024-08-25 19:39:33,2024-08-25,data: 2024-08-25,40,5,01 - Progetos\zData Analyst\Estatística\Exploração.md
"Hipótese (H0, H1)",2025-09-21 20:38:34,2025-09-21,data: 2025-09-21,566,13,"01 - Progetos\zData Analyst\Estatística\Hipótese (H0, H1).md"
Indrodução,2024-12-31 01:28:35,2024-08-25,DataAnalyst,77,10,01 - Progetos\zData Analyst\Estatística\Indrodução.md
Insights,2024-12-31 01:28:40,2024-09-04,DataAnalyst,44,5,01 - Progetos\zData Analyst\Estatística\Insights.md
Intervalo de Confiança,2025-09-21 19:07:57,2025-09-21,data: 2025-09-21,498,24,01 - Progetos\zData Analyst\Estatística\Intervalo de Confiança.md
Intervalo Interquartil (IQR),2025-09-19 20:10:24,2025-09-19,data: 2025-09-19,48,3,01 - Progetos\zData Analyst\Estatística\Intervalo Interquartil (IQR).md
Limpeza de dados,2024-08-25 19:38:33,2024-08-25,DataAnalyst,33,1,01 - Progetos\zData Analyst\Estatística\Limpeza de dados.md
Mediana,2025-01-02 22:58:37,2024-09-03,DataAnalyst,14,1,01 - Progetos\zData Analyst\Estatística\Mediana.md
Medidas de Tendência Central,2024-12-31 01:29:18,2024-09-03,DataAnalyst,55,6,01 - Progetos\zData Analyst\Estatística\Medidas de Tendência Central.md
Medidas,2024-12-31 01:29:14,2024-09-03,DataAnalyst,17,3,01 - Progetos\zData Analyst\Estatística\Medidas.md
Moda,2024-12-31 01:29:23,2024-09-03,DataAnalyst,175,7,01 - Progetos\zData Analyst\Estatística\Moda.md
Média,2024-12-31 01:29:06,2024-09-03,DataAnalyst,34,10,01 - Progetos\zData Analyst\Estatística\Média.md
Padrões & Tendências & Relações,2024-12-31 01:29:35,2024-09-04,DataAnalyst,55,3,01 - Progetos\zData Analyst\Estatística\Padrões & Tendências & Relações.md
Percentis,2025-09-19 20:03:31,2025-09-19,data: 2025-09-19,51,0,01 - Progetos\zData Analyst\Estatística\Percentis.md
Probabilidade Condicional,2025-09-21 18:08:27,2025-09-21,data: 2025-09-21,461,1,01 - Progetos\zData Analyst\Estatística\Probabilidade Condicional.md
Probabilidade,2025-09-21 18:59:43,2025-09-21,data: 2025-09-21,350,3,01 - Progetos\zData Analyst\Estatística\Probabilidade.md
Quartis,2025-09-19 20:01:23,2025-09-19,DataAnalyst,62,4,01 - Progetos\zData Analyst\Estatística\Quartis.md
Regra dos três sigmas,2025-01-25 23:30:28,2025-01-03,Conceito,37,4,01 - Progetos\zData Analyst\Estatística\Regra dos três sigmas.md
Sem título,2024-08-28 23:01:55,,,240,0,01 - Progetos\zData Analyst\Estatística\Sem título.md
Significância,2025-01-09 20:58:03,2025-01-09,data: 2025-01-09,6,0,01 - Progetos\zData Analyst\Estatística\Significância.md
T teste,2025-01-09 00:07:33,2025-01-08,Conceito,53,1,01 - Progetos\zData Analyst\Estatística\T teste.md
Teorema central do limite,2025-01-25 23:30:28,2025-01-08,data: 2025-01-08,38,3,01 - Progetos\zData Analyst\Estatística\Teorema central do limite.md
Teorema de Bayes,2025-09-19 21:04:57,2025-09-19,data: 2025-09-19,557,15,01 - Progetos\zData Analyst\Estatística\Teorema de Bayes.md
Teste Qui-Quadrado,2025-09-21 20:19:43,2025-09-21,data: 2025-09-21,739,21,01 - Progetos\zData Analyst\Estatística\Teste Qui-Quadrado.md
tipos de caldas(Curtose),2025-09-19 20:24:25,2025-09-19,data: 2025-09-19,59,6,01 - Progetos\zData Analyst\Estatística\tipos de caldas(Curtose).md
Tipos de variáveis,2024-09-03 22:21:55,2024-09-03,DataAnalyst,38,2,01 - Progetos\zData Analyst\Estatística\Tipos de variáveis.md
Valor esperado = média,2025-01-25 23:30:28,2025-01-08,data: 2025-01-08,35,2,01 - Progetos\zData Analyst\Estatística\Valor esperado = média.md
Valor-p,2025-01-08 23:41:07,2025-01-08,Conceito,108,1,01 - Progetos\zData Analyst\Estatística\Valor-p.md
Variáveis discretas,2025-01-04 00:09:10,2024-09-03,DataAnalyst,28,0,01 - Progetos\zData Analyst\Estatística\Variáveis discretas.md
Variáveis ​​Contínuas,2024-12-31 01:30:38,2024-09-03,DataAnalyst,19,0,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Contínuas.md
Variáveis ​​Nominais,2024-09-03 22:23:21,2024-09-03,data: 2024-09-03,19,1,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Nominais.md
Variáveis ​​Ordinais,2024-09-03 22:23:37,2024-09-03,data: 2024-09-03,24,1,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Ordinais.md
Variáveis ​​Qualitativas (ou Categóricas),2024-09-03 22:21:47,2024-09-03,data: 2024-09-03,10,2,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Qualitativas (ou Categóricas).md
Variáveis ​​Quantitativas,2024-12-31 01:30:52,2024-09-03,DataAnalyst,11,2,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Quantitativas.md
Variância,2025-01-07 00:03:50,2025-01-03,Conceito,85,1,01 - Progetos\zData Analyst\Estatística\Variância.md
Visualização de dados,2024-08-25 19:53:00,2024-08-25,DataAnalyst,42,6,01 - Progetos\zData Analyst\Estatística\Visualização de dados.md
Z-score,2025-01-06 21:32:34,2025-01-06,data: 2025-01-06,20,2,01 - Progetos\zData Analyst\Estatística\Z-score.md
Avaliar fórmula,2024-12-31 01:27:20,2024-09-06,DataAnalyst,18,0,01 - Progetos\zData Analyst\Excel\Avaliar fórmula.md
DADADIF,2024-08-25 23:37:47,2024-08-25,DataAnalyst,95,1,01 - Progetos\zData Analyst\Excel\DADADIF.md
F4,2024-11-04 16:43:18,2024-11-04,Comando,63,1,01 - Progetos\zData Analyst\Excel\F4.md
Função TEXTO,2024-12-31 01:28:07,2024-09-06,DataAnalyst,160,1,01 - Progetos\zData Analyst\Excel\Função TEXTO.md
Função.excel,2024-12-31 01:28:12,2024-08-25,DataAnalyst,338,13,01 - Progetos\zData Analyst\Excel\Função.excel.md
hlookup,2024-08-25 23:36:37,,,0,0,01 - Progetos\zData Analyst\Excel\hlookup.md
SE,2024-09-07 21:02:06,2024-08-25,DataAnalyst,62,2,01 - Progetos\zData Analyst\Excel\SE.md
SEERRO,2024-12-31 01:29:57,2024-09-06,DataAnalyst,59,0,01 - Progetos\zData Analyst\Excel\SEERRO.md
Tabelas dinâmicas,2024-12-31 01:30:25,2024-09-07,DataAnalyst,13,1,01 - Progetos\zData Analyst\Excel\Tabelas dinâmicas.md
Variáveis no excel,2024-12-31 01:30:46,2024-09-06,DataAnalyst,29,3,01 - Progetos\zData Analyst\Excel\Variáveis no excel.md
vlookup,2024-08-25 23:36:28,,,0,0,01 - Progetos\zData Analyst\Excel\vlookup.md
99freelas,2025-07-10 21:19:21,2025-07-10,data: 2025-07-10,376340,0,01 - Progetos\zData Analyst\Frella\99freelas.md
Freela,2025-07-13 01:54:04,2024-12-02,data: 2024-12-02,25,1,01 - Progetos\zData Analyst\Frella\Freela.md
prompt,2025-08-18 18:36:14,,,553,0,01 - Progetos\zData Analyst\Frella\prompt.md
Quais consigo fazer.,2024-08-05 02:19:45,2024-08-04,data: 2024-08-04,30,6,01 - Progetos\zData Analyst\Frella\Quais consigo fazer..md
Quais vou fazer,2024-08-27 20:34:35,2024-08-27,data: 2024-08-27,11,1,01 - Progetos\zData Analyst\Frella\Quais vou fazer.md
Sobre a msg inicial,2025-07-21 20:34:19,2025-07-21,data: 2025-07-21,615,2,01 - Progetos\zData Analyst\Frella\Sobre a msg inicial.md
Áreas escolhidas,2025-07-20 19:24:24,,,164,1,01 - Progetos\zData Analyst\Frella\Áreas escolhidas.md
Automação de dashboard,2025-09-16 15:16:22,2025-09-16,Comando,271,0,01 - Progetos\zData Analyst\Frella\Projetos\Automação de dashboard.md
Dashboard de Análise de Performance para Marketing Digital,2025-07-16 19:14:41,2025-07-12,data: 2025-07-12,413,0,01 - Progetos\zData Analyst\Frella\Projetos\Dashboard de Análise de Performance para Marketing Digital.md
2 esboço,2025-08-05 21:38:55,,,44,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\2 esboço.md
Cartorio,2025-07-30 16:58:33,,,34,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\Cartorio.md
Checklist,2025-07-31 21:19:28,,,87,1,01 - Progetos\zData Analyst\Frella\Projetos\botão att\Checklist.md
esboço,2025-07-30 20:40:27,2025-07-30,data: 2025-07-30,190,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\esboço.md
reunião 01,2025-07-30 19:59:53,,,426,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\reunião 01.md
e-mail,2025-09-04 23:25:51,,,595,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\e-mail.md
Estutura dos slides,2025-09-04 19:13:44,,,572,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\Estutura dos slides.md
Primeiro video.,2025-09-04 19:02:44,,,17,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\Primeiro video..md
Video aula de IA,2025-09-04 18:11:46,2025-09-04,data: 2025-09-04,11,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\Video aula de IA.md
Acercamento,2024-09-12 16:09:15,2024-09-12,data: 2024-09-12,42,2,01 - Progetos\zData Analyst\Graficos\Acercamento.md
Barras horizontais empilhadas,2024-12-31 01:27:39,2024-09-11,DataAnalyst,18,1,01 - Progetos\zData Analyst\Graficos\Barras horizontais empilhadas.md
Barras horizontais,2024-12-31 01:27:36,2024-09-11,DataAnalyst,22,2,01 - Progetos\zData Analyst\Graficos\Barras horizontais.md
Barras verticais empilhadas,2024-12-31 01:27:47,2024-09-10,DataAnalyst,59,3,01 - Progetos\zData Analyst\Graficos\Barras verticais empilhadas.md
Barras verticais,2024-12-31 01:27:43,2024-09-10,DataAnalyst,25,1,01 - Progetos\zData Analyst\Graficos\Barras verticais.md
Barras,2024-12-31 01:27:27,2024-09-10,DataAnalyst,227,11,01 - Progetos\zData Analyst\Graficos\Barras.md
Boxplot,2025-01-02 23:42:02,2025-01-02,data: 2025-01-02,83,8,01 - Progetos\zData Analyst\Graficos\Boxplot.md
Causa e efeito,2024-12-17 20:38:20,2024-12-17,Gráfico,91,1,01 - Progetos\zData Analyst\Graficos\Causa e efeito.md
Conexão,2024-09-12 16:16:50,2024-09-12,data: 2024-09-12,59,4,01 - Progetos\zData Analyst\Graficos\Conexão.md
Continuidade,2024-09-12 16:14:45,2024-09-12,data: 2024-09-12,54,2,01 - Progetos\zData Analyst\Graficos\Continuidade.md
Cores,2025-04-12 10:41:05,2025-04-12,data: 2025-04-12,65,1,01 - Progetos\zData Analyst\Graficos\Cores.md
Densidade de frequência,2025-01-02 21:36:52,2025-01-02,Conceito,22,0,01 - Progetos\zData Analyst\Graficos\Densidade de frequência.md
Diagramas de Venn,2025-01-04 21:05:46,,,0,0,01 - Progetos\zData Analyst\Graficos\Diagramas de Venn.md
